         14009 function calls (14002 primitive calls) in 7.113 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\socket.py:960(getaddrinfo)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\util\ssl_.py:225(create_urllib3_context)
        1    0.000    0.000    0.000    0.000 {built-in method _socket.getaddrinfo}
        2    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\util\url.py:367(parse_url)
        6    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\util\url.py:227(_encode_invalid_chars)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\http\client.py:245(parse_headers)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\models.py:494(prepare_body)
       18    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FFD75C398A0}
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\models.py:572(prepare_content_length)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\ssl.py:430(__new__)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\http\client.py:231(_parse_header_lines)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\util\request.py:197(body_to_chunks)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\email\parser.py:56(parsestr)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\utils.py:136(super_len)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\util\util.py:7(to_bytes)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\models.py:409(prepare_url)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\email\parser.py:41(parse)
       21    0.000    0.000    0.000    0.000 {polylines}
        7    0.000    0.000    0.000    0.000 {built-in method nt._path_exists}
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\sessions.py:750(merge_environment_settings)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\adapters.py:423(get_connection_with_tls_context)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\email\feedparser.py:173(feed)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\utils.py:816(get_environ_proxies)
        2    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\email\feedparser.py:178(_call_parse)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\sessions.py:390(__init__)
       43    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\email\feedparser.py:218(_parsegen)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\poolmanager.py:290(connection_from_host)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\poolmanager.py:319(connection_from_context)
       21    0.000    0.000    0.000    0.000 {fillPoly}
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\poolmanager.py:344(connection_from_pool_key)
       21    0.000    0.000    0.000    0.000 {rectangle}
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\utils.py:755(should_bypass_proxies)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\utils.py:207(get_netrc_auth)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\poolmanager.py:243(_new_pool)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\connectionpool.py:980(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\weakref.py:585(__call__)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\adapters.py:336(build_response)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\connectionpool.py:175(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\connectionpool.py:1170(_close_pool_connections)
        6    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\structures.py:40(__init__)
       13    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
        3    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\models.py:890(content)
       61    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\_core\numeric.py:483(count_nonzero)
       21    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
        8    0.000    0.000    0.000    0.000 <frozen _collections_abc>:979(update)
       42    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\_core\_methods.py:73(_count_reduce_items)
        2    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\models.py:816(generate)
  325/321    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\util\url.py:349(_encode_target)
        2    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\response.py:1231(stream)
      902    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      882    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        2    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\json\__init__.py:299(loads)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\response.py:1065(read)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\utils.py:115(proxy_bypass)
       61    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.count_nonzero}
       44    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        2    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\json\decoder.py:340(decode)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\adapters.py:280(cert_verify)
        7    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\sessions.py:61(merge_setting)
        2    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\urllib\request.py:2495(getproxies_environment)
        1    0.000    0.000    0.000    0.000 {built-in method _io.open}
        7    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\connection.py:410(putheader)
        2    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\adapters.py:178(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\email\feedparser.py:472(_parse_headers)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\http\client.py:1322(endheaders)
        2    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\json\decoder.py:351(raw_decode)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\http\client.py:1084(_send_output)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\connection.py:375(close)
        3    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\cookies.py:521(cookiejar_from_dict)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\http\client.py:1015(close)
        2    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\response.py:1013(_raw_read)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\socket.py:501(close)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\_collections.py:240(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\urllib\request.py:2741(getproxies)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\ssl.py:1361(_real_close)
       11    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\queue.py:137(put)
      368    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\cookies.py:124(extract_cookies_to_jar)
       28    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\email\_policybase.py:319(header_fetch_parse)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\models.py:947(json)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\_collections.py:341(extend)
       10    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\urllib\parse.py:374(urlparse)
        7    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\http\client.py:1294(putheader)
       12    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\queue.py:177(get)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\requests\models.py:483(prepare_headers)
        8    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\email\message.py:500(get)
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\connectionpool.py:256(_get_conn)
      327    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\site-packages\urllib3\connection.py:390(putrequest)
       24    0.000    0.000    0.000    0.000 <frozen _collections_abc>:897(__iter__)
       28    0.000    0.000    0.000    0.000 C:\Users\augus\AppData\Local\Programs\Python\Python313\Lib\email\_policybase.py:289(_sanitize_header)
